Species,Location,Direction,Stiffness.MPa,var
Hagfish,H,L,38.59649123, mean
Hagfish,H,L,44.56140351, sd
Hagfish,T,L,52.98245614, mean
Hagfish,T,L,61.05263158, sd
Hagfish,H,C,24.21052632, mean
Hagfish,H,C,27.71929825, sd
Hagfish,T,C,31.57894737, mean
Hagfish,T,C,36.84210526, sd
Gunnel,H,L,14.38596491, mean
Gunnel,H,L,15.78947368, sd
Gunnel,T,L,28.42105263, mean
Gunnel,T,L,37.19298246, sd
Gunnel,H,C,42.10526316, mean
Gunnel,H,C,44.9122807, sd
Gunnel,T,C,49.47368421, mean
Gunnel,T,C,54.73684211, sd
Lamprey,H,L,23.15789474, mean
Lamprey,H,L,27.36842105, sd
Lamprey,T,L,21.05263158, mean
Lamprey,T,L,22.45614035, sd
