species,point,x,y
snapper,snout,45.215311,86.81339713
snapper,tail,359.9138756,81.99043062
snapper,anterior,170.6124402,65.71291866
snapper,midlateral,235.722488,67.5215311
snapper,posterior,286.9665072,76.5645933
pompano,snout,46.42105263,289.9808612
pompano,tail,325.5502392,271.8947368
pompano,anterior,145.8947368,274.9090909
pompano,midlateral,195.9330144,276.1148325
pompano,posterior,244.7655502,275.5119617
coho,snout,57.27272727,469.0334928
coho,tail,481.0909091,458.1818182
coho,anterior,186.2870813,458.1818182
coho,midlateral,294.2009569,458.1818182
coho,posterior,390.6602871,458.1818182
