Fin,Ray,Gap.L,I.ml.m4,X0,Y0
Contiguous,Spine,0,2.86E-09,0,1.47E-12
Contiguous,Spine,0,1.60E-09,0.175373134,1.47E-12
Contiguous,Spine,0,2.55E-10,0.350746269,1.47E-12
Contiguous,Spine,0,1.14E-10,0,1.00E-17
Contiguous,Spine,0,4.15E-11,0.175373134,1.00E-17
Contiguous,Spine,0,5.37E-15,0.350746269,1.00E-17
Contiguous,Spine,0,2.52E-15,,
Contiguous,Spine,0,1.29E-15,,
Contiguous,Spine,0,5.23E-16,,
Contiguous,Spine,0,2.73E-16,,
Contiguous,Soft,0,2.85E-09,,
Contiguous,Soft,0,1.61E-09,,
Contiguous,Soft,0,2.55E-10,,
Contiguous,Soft,0,1.14E-10,,
Contiguous,Soft,0,4.14E-11,,
Contiguous,Soft,0,5.36E-15,,
Contiguous,Soft,0,2.51E-15,,
Contiguous,Soft,0,1.29E-15,,
Contiguous,Soft,0,5.25E-16,,
Contiguous,Soft,0,2.73E-16,,
Contiguous,Soft,0.175227454,4.01E-10,,
Contiguous,Soft,0.175227454,2.51E-10,,
Contiguous,Soft,0.175227454,1.36E-10,,
Contiguous,Soft,0.175149116,3.53E-11,,
Contiguous,Soft,0.175227454,7.99E-16,,
Contiguous,Soft,0.175227454,4.78E-16,,
Contiguous,Soft,0.175227454,1.29E-16,,
Contiguous,Soft,0.350442539,1.49E-10,,
Contiguous,Soft,0.350442539,2.89E-11,,
Contiguous,Soft,0.350442539,3.95E-16,,
Contiguous,Soft,0.350442539,8.68E-17,,
Contiguous,Soft,0.175373134,1.06E-15,,
Contiguous,Soft,0.350746269,5.18E-16,,
Contiguous,Soft,0.350746269,4.39E-16,,
Contiguous,Soft,0.350746269,1.00E-16,,
Separated,Spine,0.020406256,2.17E-11,,
Separated,Spine,0.02055945,6.78E-17,,
Separated,Spine,0.026255463,1.12E-16,,
Separated,Spine,0.026098788,2.24E-11,,
Separated,Spine,0.025768029,6.68E-17,,
Separated,Spine,0.031321294,3.13E-11,,
Separated,Spine,0.031608532,1.18E-16,,
Separated,Spine,0.033331959,2.24E-11,,
Separated,Spine,0.046832138,1.33E-11,,
Separated,Spine,0.046832138,3.30E-17,,
Separated,Spine,0.064066408,5.29E-11,,
Separated,Spine,0.064066408,1.56E-16,,
Separated,Spine,0.069294137,1.97E-09,,
Separated,Spine,0.069236689,3.55E-15,,
Separated,Spine,0.071534592,2.60E-11,,
Separated,Spine,0.071764383,7.76E-17,,
Separated,Spine,0.072109068,8.50E-15,,
Separated,Spine,0.072396306,3.41E-09,,
Separated,Spine,0.073832495,5.89E-17,,
Separated,Spine,0.075555922,2.49E-11,,
Separated,Spine,0.09049229,1.05E-12,,
Separated,Spine,0.090779528,2.69E-18,,
Separated,Spine,0.092215717,1.49E-09,,
Separated,Spine,0.092215717,4.00E-15,,
Separated,Spine,0.092790193,2.44E-11,,
Separated,Spine,0.092790193,4.95E-17,,
Separated,Spine,0.09853495,4.70E-09,,
Separated,Spine,0.099109425,5.32E-15,,
Separated,Spine,0.101407328,5.61E-11,,
Separated,Spine,0.101407328,1.42E-16,,
Separated,Spine,0.102269042,1.39E-12,,
Separated,Spine,0.102269042,2.47E-18,,
Separated,Spine,0.103130755,2.67E-09,,
Separated,Spine,0.103992469,5.05E-15,,
Separated,Spine,0.106003134,1.77E-10,,
Separated,Spine,0.106003134,5.79E-16,,
Separated,Spine,0.112322366,2.10E-09,,
Separated,Spine,0.112322366,5.94E-15,,
Separated,Spine,0.113758555,1.40E-10,,
Separated,Spine,0.113758555,2.97E-16,,
Separated,Spine,0.120939501,4.94E-10,,
Separated,Spine,0.120939501,1.34E-15,,
Separated,Spine,0.130131112,1.19E-12,,
Separated,Spine,0.13041835,3.51E-18,,
Separated,Spine,0.196195816,7.99E-12,,
Separated,Spine,0.195908579,3.40E-12,,
Separated,Spine,0.196332596,1.63E-17,,
Separated,Spine,0.201796954,9.53E-12,,
Separated,Spine,0.201763812,2.15E-17,,
Separated,Spine,0.207398092,1.18E-11,,
Separated,Spine,0.244451774,7.63E-10,,
Separated,Spine,0.244739012,1.52E-15,,
Separated,Spine,0.247324153,2.94E-09,,
Separated,Spine,0.247611391,4.95E-15,,
