individual,location.desc,location.pct,k.Nmprad,tuple,param
1,forebody,31.6,0.088,0, mn
1,forebody,31.6,0.088,0, sd
2,forebody,31.6,0.149,1, mn
2,forebody,31.6,0.197,1, sd
3,forebody,31.6,0.169,2, mn
3,forebody,31.6,0.185,2, sd
4,forebody,31.6,0.163,3, mn
4,forebody,31.6,0.167,3, sd
5,forebody,31.6,0.135,4, mn
5,forebody,31.6,0.163,4, sd
1,midbody,47.6,0.077,5, mn
1,midbody,47.6,0.077,5, sd
2,midbody,47.6,0.077,6, mn
2,midbody,47.6,0.092,6, sd
3,midbody,47.6,0.073,7, mn
3,midbody,47.6,0.081,7, sd
4,midbody,47.6,0.074,8, mn
4,midbody,47.6,0.086,8, sd
5,midbody,47.6,0.055,9, mn
5,midbody,47.6,0.06,9, sd
1,afterbody,63.2,0.061,10, mn
1,afterbody,63.2,0.061,10, sd
2,afterbody,63.2,0.071,11, mn
2,afterbody,63.2,0.08,11, sd
3,afterbody,63.2,0.069,12, mn
3,afterbody,63.2,0.081,12, sd
4,afterbody,63.2,0.067,13, mn
4,afterbody,63.2,0.081,13, sd
5,afterbody,63.2,0.095,14, mn
5,afterbody,63.2,0.13,14, sd
